OBJECTID1,Area_suburb,Data_Category,F2005_06,F2006_07,F2007_08,F2008_09,F2009_10,F2010_11,F2011_12,F2012_13,F2013_14,F2014_15,F2015_16,F2016_17,F2017_18,F2018_19,Shape__Area,Shape__Length
1,Newtown + St Peters,Electricity (Disaggregated),68244.71853,68908.39248,54931.52831,54068.54675,54696.06236,55336.99239,53578.53209,53180.75656,51178.37261,46997.93624,45562.3611,40245.23203,39443.47605,37247.54129,1427270.984375,8815.39472448864
2,Newtown + St Peters,Gas (Disaggregated),4635.031427,4636.506642,4343.603477,4310.46436,4305.069269,4054.575075,4053.22227,4092.708623,4073.800698,4273.516941,4406.080005,4318.561195,4191.225421,4046.531387,1427270.984375,8815.39472448864
3,Newtown + St Peters,Other Scope 3 (Disaggregated),94.08399271,95.01462146,94.63878059,91.0270389,88.26211173,85.56492188,117.4620965,120.2202403,122.2336985,124.2859011,126.2764474,129.1432031,,,1427270.984375,8815.39472448864
4,Newtown + St Peters,Transport (Disaggregated),8609.342071,8880.381799,8916.245395,8732.361737,8972.860364,9209.8877,8791.414528,9022.290556,9022.449782,9151.670418,8750.953004,10488.23117,10486.74922,10960.7957,1427270.984375,8815.39472448864
5,Newtown + St Peters,Waste (Disaggregated),16739.90611,16958.74833,17003.48846,15577.25849,10278.72745,9913.244498,9747.702366,9589.026543,9599.323701,9659.897765,9740.80172,10817.90728,10546.41536,11577.2399,1427270.984375,8815.39472448864
6,Newtown + St Peters,Waste Water (Disaggregated),155.3380229,158.7482178,160.59706,162.6178937,164.0759326,164.542564,168.6107323,172.9842161,178.5917266,185.1890783,190.7239083,194.4615583,,,1427270.984375,8815.39472448864
7,Alexandria,Electricity (Disaggregated),188840.7789,190536.1108,191218.7798,174280.3064,165054.9838,173738.2726,172959.1008,164401.9306,154240.152,146059.2679,141261.6116,141582.1331,140058.4098,132330.6149,5129711.90234375,12267.9607640572
8,Alexandria,Gas (Disaggregated),8854.465525,8932.003493,8539.061996,8718.868792,9020.442779,8797.126864,8985.104857,9050.543874,8941.081408,9341.225898,9421.579772,9338.079148,9705.767973,9212.00838,5129711.90234375,12267.9607640572
9,Alexandria,Other Scope 3 (Disaggregated),179.3183877,182.784927,184.1774064,182.2766452,180.7217602,179.0670814,251.1410954,259.3100299,265.9864445,272.8473565,279.6722882,288.5526376,,,5129711.90234375,12267.9607640572
10,Alexandria,Transport (Disaggregated),40972.19083,42423.707,42947.93528,42311.89434,43879.10501,45451.42024,44915.74153,45673.16819,45575.59341,46195.15561,43954.00768,47550.89177,50019.69639,50417.01157,5129711.90234375,12267.9607640572
11,Alexandria,Waste (Disaggregated),47707.39888,48183.4156,49056.67049,44873.13208,29694.05513,29734.29581,30039.55511,29972.0323,30149.41537,30385.66221,30699.63944,33884.13979,38296.67984,41294.51231,5129711.90234375,12267.9607640572
12,Alexandria,Waste Water (Disaggregated),162.7930457,166.6926385,173.041676,179.6901349,185.8203523,190.8888179,200.268868,206.645484,214.5640884,223.7539747,231.7405706,237.6033576,,,5129711.90234375,12267.9607640572
13,Waterloo + Moore Park,Electricity (Disaggregated),113164.5072,114373.0986,116982.452,118116.8708,126019.6405,127383.99,122351.5475,119867.6207,115779.0855,105289.9222,105014.4864,105171.0369,102774.5535,101267.778,4345076.4375,11650.7278262005
14,Waterloo + Moore Park,Gas (Disaggregated),22688.76063,22883.4357,21796.0273,22150.07026,22853.03935,22219.47663,22622.51814,22703.7806,22394.80874,23432.58515,23749.95744,24014.52989,25582.23699,25846.60405,4345076.4375,11650.7278262005
