,area_id,area_name,land_area,population,number_of_dwellings,number_of_businesses,median_annual_household_income,avg_monthly_rent,0-4,5-9,10-14,15-19
0,102011028,Avoca Beach - Copacabana,643.8,7590,2325,738.0,46996.0,1906.0,467,583,604,560
1,102011029,Box Head - MacMasters Beach,3208.6,10986,3847,907.0,42621.0,1682.0,586,696,661,692
2,102011030,Calga - Kulnura,76795.1,4841,1575,1102.0,42105.0,1182.0,220,254,304,320
3,102011031,Erina - Green Point,3379.3,14237,4450,1666.0,43481.0,1595.0,695,778,916,838
4,102011032,Gosford - Springfield,1691.2,19385,6373,2126.0,45972.0,1382.0,1200,1079,963,977
5,102011033,Kariong,830.6,6540,1824,352.0,47896.0,1649.0,472,502,497,591
6,102011034,Kincumber - Picketts Valley,1208.9,7428,1946,479.0,41642.0,1397.0,404,458,448,416
7,102011035,Narara,770.2,6853,2006,292.0,46660.0,1512.0,463,470,448,459
8,102011036,Niagara Park - Lisarow,1673.2,8173,2345,477.0,45762.0,1495.0,525,605,617,606
9,102011037,Point Clare - Koolewong,678.7,6281,2220,312.0,45966.0,1572.0,371,412,373,343
10,102011038,Saratoga - Davistown,476.8,7177,2366,486.0,43171.0,1667.0,498,479,442,419
11,102011039,Terrigal - North Avoca,1010.7,14048,4457,1351.0,46422.0,2022.0,816,860,828,873
12,102011040,Umina - Booker Bay - Patonga,2522.8,24251,7540,1217.0,40252.0,1517.0,1410,1405,1218,1221
13,102011041,Wamberal - Forresters Beach,1372.2,10308,2947,924.0,47295.0,1902.0,691,803,730,655
14,102011042,Woy Woy - Blackwall,1742.3,14327,4304,691.0,42481.0,1387.0,784,759,681,737
15,102011043,Wyoming,838.1,11659,3269,486.0,43438.0,1466.0,721,764,675,724
16,102021044,Bateau Bay - Killarney Vale,1086.0,22465,6941,1035.0,42469.0,1423.0,1490,1528,1321,1345
17,102021045,Blue Haven - San Remo,2098.0,11366,3624,290.0,42641.0,1526.0,900,939,879,912
18,102021046,Budgewoi - Buff Point - Halekulani,935.3,9639,3648,350.0,41702.0,1347.0,590,570,541,509
19,102021047,Chittaway Bay - Tumbi Umbi,2449.9,15697,4947,994.0,45015.0,1593.0,993,1133,1046,1050
20,102021048,Gorokan - Kanwal - Charmhaven,1124.9,22567,7562,816.0,41051.0,1330.0,1328,1390,1422,1401
